epoch,train_loss,train_acc,test_acc
1,1.287684026421333,0.36342,0.5276
2,1.0231350003456583,0.45822,0.5624
3,0.8744067990658234,0.51054,0.6237
4,0.7502984091335413,0.55224,0.5992
5,0.6337142620159655,0.59232,0.5978
6,0.49530198394644015,0.65452,0.5702
7,0.35834618916316907,0.72444,0.5769
8,0.24402794751281642,0.801,0.5646
9,0.15634526954773736,0.8628,0.5907
10,0.09717960089293061,0.91232,0.5908
11,0.07264199128792602,0.93428,0.5463
12,0.06480670490359165,0.94166,0.5502
13,0.08575672635390442,0.92202,0.5602
14,0.10607042437305256,0.90566,0.554
15,0.07511517118510543,0.932,0.5583
