epoch,train_loss,train_acc,test_acc
1,1.1584825582650242,0.42358,0.5522
2,0.866723317272809,0.53918,0.6321
3,0.7097091872473152,0.59876,0.6343
4,0.5897159504951263,0.63982,0.6484
5,0.46710719548317853,0.687,0.6096
6,0.3480458916450033,0.74414,0.6377
7,0.23115443445894182,0.81302,0.646
8,0.1541202203275598,0.86952,0.6325
9,0.10207660838353391,0.90772,0.6429
10,0.07561836707196673,0.93236,0.6488
11,0.06542412438714991,0.94184,0.6396
12,0.07054513327929439,0.93528,0.6287
13,0.07861204479573941,0.9288,0.6449
14,0.06460796484761701,0.94068,0.6441
15,0.041621302672642836,0.96248,0.6448
