epoch,train_loss,train_acc,test_acc
1,1.401790600041954,0.52562,0.6185
2,1.0179775123085295,0.67054,0.7327
3,0.8312430901795017,0.735,0.7237
4,0.6883298964524756,0.77856,0.7264
5,0.5418199276437565,0.82394,0.7294
6,0.39957327350061767,0.86918,0.7053
7,0.2710174670328899,0.91324,0.6812
8,0.17509360516405836,0.9444,0.7218
9,0.10727852596236127,0.96856,0.7234
10,0.07576033642173421,0.97788,0.7191
11,0.0636941817094933,0.98206,0.7142
12,0.0775568118242889,0.9759,0.7127
13,0.08577403872825053,0.97202,0.7073
14,0.08027958664662983,0.9735,0.7194
15,0.04957056338233607,0.9851,0.7075
