epoch,train_loss,train_acc,test_acc
1,1.590713763723568,0.45232,0.5821
2,1.259518110022253,0.57842,0.7063
3,1.082226423584685,0.63716,0.7088
4,0.9399678260087967,0.67922,0.7184
5,0.7920300455725923,0.72628,0.6973
6,0.6245892154318946,0.7839,0.6871
7,0.44419823237219636,0.84796,0.6667
8,0.2988005807357175,0.9006,0.6543
9,0.2018584640962737,0.93566,0.6544
10,0.131580171498413,0.96142,0.6491
11,0.09834609555118547,0.9708,0.6639
12,0.07901524391253384,0.97748,0.6583
13,0.08038919645228557,0.97502,0.6554
14,0.09581483765600288,0.96858,0.6361
15,0.09979274108701823,0.96662,0.652
