epoch,train_loss,train_acc,test_acc
1,0.03812343145397549,0.29522,0.345
2,0.02454532934732887,0.34834,0.5079
3,0.018898274245842988,0.36994,0.4347
4,0.014802060242058063,0.39292,0.4415
5,0.012634926123962718,0.4003,0.5173
6,0.010400449560137883,0.41528,0.469
7,0.008522496627624698,0.42936,0.4617
8,0.006995857080292641,0.44692,0.5287
9,0.005857208700926632,0.46116,0.4881
10,0.00518069588531721,0.4724,0.5506
11,0.004712110260568027,0.48192,0.5167
12,0.003928291030484727,0.49868,0.5387
13,0.0031595431821781913,0.52634,0.5388
14,0.00274303546935624,0.54502,0.492
15,0.0023206414468348864,0.56834,0.4874
