epoch,train_loss,train_acc,test_acc
1,6.742059174849063,0.28162,0.4388
2,6.012933745676158,0.3604,0.5729
3,5.54843904777449,0.41024,0.6346
4,5.2463719771832835,0.44266,0.6542
5,5.000417080460762,0.46926,0.7009
6,4.83909260253517,0.4858,0.7071
7,4.682203616414752,0.50204,0.7313
8,4.513742297279592,0.521,0.697
9,4.376816638878414,0.53574,0.7227
10,4.24512332556199,0.55012,0.729
11,4.105879806742376,0.56468,0.7426
12,3.977192117243397,0.57846,0.7405
13,3.863075774543139,0.58996,0.7347
14,3.7541747847381903,0.60202,0.7387
15,3.673907311595216,0.61072,0.7218
