epoch,train_loss,train_acc,test_acc
1,4.815849150930132,0.49926,0.6277
2,3.524917102589899,0.63458,0.6793
3,3.0106459077523677,0.6873,0.7336
4,2.7157752112466462,0.71794,0.7097
5,2.4467495862318547,0.74518,0.7603
6,2.2508567644625295,0.76578,0.767
7,2.065624271120344,0.78496,0.7861
8,1.9137882584211778,0.80142,0.7868
9,1.7734616356236594,0.81558,0.7924
10,1.6667210788142925,0.82708,0.7806
11,1.5518588904215365,0.838,0.8096
12,1.4793287649446605,0.84564,0.7938
13,1.4210112137453896,0.85218,0.8117
14,1.3575952782922862,0.85868,0.8112
15,1.3312205185695571,0.86108,0.8075
