epoch,train_loss,train_acc,test_acc
1,0.038385606361363005,0.37106,0.5211
2,0.023388596346639857,0.45522,0.605
3,0.017690190698533337,0.49144,0.5968
4,0.013993523848642195,0.51558,0.6019
5,0.011310536920435118,0.5413,0.5686
6,0.009095114475230173,0.56528,0.5998
7,0.0072862266120976025,0.58976,0.5958
8,0.005678215047477612,0.62984,0.5906
9,0.004418972318954006,0.66484,0.6148
10,0.0034245113409789546,0.70902,0.5612
11,0.0027390226314309984,0.74334,0.5963
12,0.00216660020773166,0.781,0.5854
13,0.0016978257709914552,0.81742,0.5976
14,0.0011859995963964232,0.859,0.5864
15,0.0008575000924329103,0.89548,0.5716
