epoch,train_loss,train_acc,test_acc
1,0.028413936362734864,0.50624,0.6256
2,0.01498845406351801,0.62938,0.6771
3,0.010778588587323166,0.67524,0.6958
4,0.008172684636594233,0.71066,0.656
5,0.006071123577255223,0.74536,0.7101
6,0.0046240883470722,0.76892,0.722
7,0.0034315838046105845,0.79954,0.7322
8,0.002554652464043881,0.83196,0.7402
9,0.001928948212239169,0.85594,0.737
10,0.0015886204497774644,0.87014,0.741
11,0.0011738846574468082,0.89756,0.7195
12,0.0007430845611712097,0.9289,0.728
13,0.0006273294230614199,0.93892,0.7399
14,0.0008158863660801031,0.9223,0.7045
15,0.0008357632698845213,0.91606,0.7128
