epoch,train_loss,train_acc,test_acc
1,5.464233894737399,0.42672,0.5596
2,4.285247035172521,0.55156,0.6372
3,3.782128716001705,0.6037,0.7226
4,3.4689100737474403,0.63602,0.7313
5,3.259383346353258,0.6579,0.7433
6,3.0297982388613174,0.68148,0.7628
7,2.890099113084832,0.69668,0.7727
8,2.7305282396929607,0.7128,0.7572
9,2.622105676300672,0.72406,0.7773
10,2.492544699688347,0.73804,0.7767
11,2.3782664166421306,0.7495,0.7704
12,2.2783937381238353,0.76032,0.7917
13,2.2206247406346455,0.76648,0.79
14,2.1504028926090317,0.77326,0.7984
15,2.0943691718335056,0.77918,0.7967
